screen_name,group,file,description
"Quote – Bid Bottom Sheet","Quote","iPhone 13 mini - 418.png","Bid detail bottom sheet with price breakdown and Accept/Reject actions."
"Quote – Accept Confirm","Quote","iPhone 13 mini - 419.png","Accept offer confirmation modal describing notification to truck owner with Yes/No."
"Quote – Accepted (Summary)","Quote","iPhone 13 mini - 421.png","Quotation Details accepted state with call option and pricing breakdown."
"Quote – Accepted (Active Trip)","Quote","iPhone 13 mini - 422.png","Quotation Details accepted with trip progress, accepted bid, pricing, Download Invoice CTA."
"Quote – Bids Overflow","Quote","iPhone 13 mini - 424.png","Quotation Details bids tab with overflow menu open (Share/Help)."
"Quote – Accepted (Assigned)","Quote","iPhone 13 mini - 444.png","Quotation Details accepted/assigned showing trip status and pricing summary."
"Trips – Pending List","Trips Screen","iPhone 13 mini - 376.png","Trips list on Pending tab with search and cards showing pickup/drop, driver, status, ETA, distance."
"Trips – Filters","Trips Screen","iPhone 13 mini - 377.png","Trips filters bottom sheet (duration presets) over pending trips list."
"Trips – Pending List (badge)","Trips Screen","iPhone 13 mini - 378.png","Trips list on Pending tab with notification badge on filters; multiple pending trip cards."
"Trips – Active List","Trips Screen","iPhone 13 mini - 379.png","Trips list on Active tab showing dispatched trips with progress bars and stats."
"Trips – Completed List","Trips Screen","iPhone 13 mini - 380.png","Trips list on Completed tab showing delivered trips with progress bars and stats."
"Trip Details – Map + Tracking Preview","Trips Screen","iPhone 13 mini - 381.png","Trip Details map view with route, driver info, shipping info, tracking status preview, and truck info."
"Trip Details – Tracking History","Trips Screen","iPhone 13 mini - 382.png","Trip Details with tracking history sheet showing milestones and timestamps along route map."
"Trip Details – Map Focus","Trips Screen","iPhone 13 mini - 383.png","Trip Details map-focused view with route progress, shipping number, driver info, and call action."

